ASV	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	term	full.formula	null.formula
ASV108	40.80191116977825	0.16798141866305094	3.132569717343925	39.97809647918092	2.0838509440314997e-9	2.1596273419962814e-8	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV58	66.96229125427033	-1.7432437052361205	3.1179126779944495	38.899657391520236	3.573112773323832e-9	3.3944571346576404e-8	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV127	77.80344061700279	0.42850675382735187	3.132885387091537	27.969494167948426	8.443091786857329e-7	7.40394202847489e-6	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV155	35.616404382511575	1.0916590666972323	3.1299575417261796	25.0165450815349	3.695951447509567e-6	3.0095604644006473e-5	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV59	31.69463686411693	-1.3181498840404224	2.917222414712387	24.23528944117652	5.462277554892248e-6	4.1513309417181086e-5	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV37	77.57108481252136	-1.1775622121078888	3.114972146120244	22.96992295451645	1.0283586502067113e-5	7.327055382722819e-5	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV330	202.1423201673871	-0.5340975987369954	3.1354191528373554	22.72838455597207	1.1603633478584774e-5	7.781260097403908e-5	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV28	84.81337473914294	-0.8196785776315944	1.195829673752509	21.79470193533234	1.8507195275836138e-5	1.172122367469622e-4	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV95	69.31548282167384	0.5903461868880536	3.133475962324666	20.49576859244104	3.5432386038096064e-5	2.125943162285764e-4	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV94	66.14007054133025	-0.3790669467389763	3.1225165976731817	19.682573638441454	5.3208796942698204e-5	3.0329014257337976e-4	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV22	370.0547002328979	-0.9194372841197266	3.108292954317983	19.56586588333323	5.6406117351292815e-5	3.062046370498753e-4	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV34	78.52370784604051	-1.476870825749074	3.1095667300066996	18.916054847495957	7.806041937565285e-5	4.044949004011102e-4	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV54	107.87613262181095	-1.6836344220743942	2.5785768795679163	18.187171176974175	1.1238438108406753e-4	5.570356279818999e-4	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV19	239.07532602539933	-2.003216775350614	2.6892753899088553	17.63957639149362	1.4777965727743935e-4	7.019533720678369e-4	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV68	70.78751974801517	0.8848660147748759	3.117652810945482	16.498678335619843	2.6143126242453323e-4	0.0011921265566558715	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV154	100.5436408179937	-0.4552438905240959	3.131347545479691	15.877901231723456	3.565804719324881e-4	0.0015634682230886018	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV32	74.75415199092106	-0.7668689495522558	2.404952087583036	14.17787796708501	8.342820831942003e-4	0.0035225243512644016	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV142	18.925912918584988	0.4309904202680698	3.1376673875426904	13.579489700454332	0.001125255846323653	0.004581398802889158	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV11	56.14646270865931	-0.4347646360298349	3.121044814936054	12.744936714830544	0.0017079382162679144	0.0067139640225704214	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV2	1468.6553390429124	-0.47407337733992533	1.7328917988552517	12.28750058645005	0.0021468571581013366	0.00815805720078508	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV24	136.13553501408208	-0.09616639654418062	3.1105034742028796	11.471947958960527	0.0032277370871833734	0.011869742836738856	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV40	119.53136974433092	-0.3012415694207764	3.1195993601101053	11.376164118772863	0.0033860810478757767	0.012062913733057455	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV82	68.7408264003279	-1.23604751712757	2.685079376422605	10.875263573491452	0.004349772271001994	0.015026486027097798	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV123	43.918361015149486	-0.8095615741835849	3.12215246361074	10.490113579184992	0.0052735222049364655	0.017681809745963444	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV520	38.916330309434485	-0.6257501651963797	3.1371476313618945	10.111521697259604	0.006372516397000169	0.020756196264514835	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV305	63.660311898695866	-0.48995181759439704	3.1341466321305105	9.798947584106685	0.00745050255325264	0.023593258085300026	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV74	66.7624171788895	-0.775303650401765	3.124087384744784	8.992274032609146	0.011151993405371536	0.034360195897631216	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV13	230.2504184070934	0.539383657136538	3.1039691980941093	8.804942944764662	0.012247034261773277	0.036741102785319835	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV17	136.5072044967013	-0.8167998149505982	2.074980967801523	8.52931421255812	0.01405668625622976	0.04108877521051776	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV159	54.142744061656494	0.09234028480658685	3.1338216377553416	8.265488556270668	0.01603880343510467	0.04571058979004831	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV336	8.87345115128304	0.36773246614040045	3.1375679024536116	7.61947378607573	0.022154007063793633	0.06159894647006034	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV56	62.35195845916789	-0.7454838955678618	3.1177429965758816	7.553024134826217	0.02290243442249081	0.062163750575332195	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV128	46.2792078697368	-0.5461824774608873	3.1184962059921215	7.322648664517601	0.025698456885258337	0.06813079267254535	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV62	42.98435465100846	0.12699483232655775	3.117433351127847	6.678677647981999	0.035460395535282345	0.09187466115959517	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV29	152.95952220245726	0.38684602908389804	3.1127900357008844	6.578530874317153	0.03728122474290755	0.09308132251782936	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV51	182.9081680020126	0.34851890498946975	3.116737769588249	6.563677568309686	0.03755913013877325	0.09308132251782936	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV1	3237.7126612350717	-0.9169974518697398	0.4003566789313237	5.522023755261898	0.06322775722619316	0.151976681117486	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV404	43.33642608291556	-0.1257964718058006	3.1348404029398247	5.4980512421846015	0.063990181523152	0.151976681117486	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV21	75.60735173350801	0.3083656542580066	3.116154930789942	5.236671841875591	0.07292411340442832	0.16966018220622098	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV46	188.56067289064885	0.32250480579351176	3.1216578400923876	4.815732786268654	0.09000712967896592	0.20521625566804227	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV5	245.6677708816526	0.31548484536269084	3.1055490114483733	4.635553429817037	0.09849231886522128	0.22015930099284756	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV87	30.093248564969272	0.8092489262963017	3.1323719671203927	4.555527860237362	0.10251317725116335	0.22474042705062736	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV14	114.93462347976144	-0.5214879916713638	2.053759446348595	4.292740029399511	0.11690776192720642	0.25146197848493457	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV50	68.1275188537184	2.120166420681682	1.4249581507599511	4.214366402859184	0.12157995078831269	0.256668784997549	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV72	67.69074612652041	0.06048717510017874	3.124327633820701	3.8458015170051	0.14618230694725218	0.3029960543997591	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV42	38.22493539946967	-0.6835565273683706	3.120383296926745	3.7871456219354513	0.15053302088772677	0.30644222109287234	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV52	118.8620369627845	-0.19390961028726345	3.114278191188654	3.3958577821377958	0.1830622736113753	0.3661245472227506	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV66	42.10185244722121	0.6613856419989769	3.126771102561701	2.989930203254687	0.2242564307784683	0.44077988118526523	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV115	70.53242394861569	-0.29860416896954317	3.1186924271266694	2.515819970618395	0.2842474875373759	0.5492239589705229	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV49	38.670253651986435	1.5664375915608102	1.6666226507094652	2.358593884722609	0.30749484922572445	0.5746625051103703	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV116	45.96857365080216	0.3840077368080054	3.1236578396276147	2.3729189265599757	0.3053002796431182	0.5746625051103703	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV294	39.33428161336569	1.2168581842624144	3.1360251821483387	2.06016184225993	0.3569780723313429	0.6563790362221466	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV35	33.69558158958793	-0.22078892250597515	3.1230800987520637	1.6920301939087494	0.4291215370824634	0.776505638530172	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV23	68.9741102971827	-0.8252573876915874	0.7705051594695164	1.6067760226267183	0.447809208431825	0.7976601525191882	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV3	828.8852712361224	-0.36481878398599804	0.37843931143073173	1.1936065399563631	0.5505688458936897	0.9623747428011169	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV47	40.86370692126181	1.4458411652306704	1.3682397559306325	1.1480146204651192	0.5632637375180407	0.9623747428011169	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV69	37.62516320406113	0.26942906728390986	1.1190745588773041	1.1397143752836314	0.5656062084883757	0.9623747428011169	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV4	4418.855387651982	-0.03311513686503796	0.6843162634780866	0.002564230130701617	0.9987187064930212	1	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV6	191.30582883355885	-0.4821764961575987	2.1195409913727206	-4.231867393733296	1	1	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV8	769.229377097152	-0.07230082231213046	2.711245397276915	-91.99748272551597	1	1	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV9	209.9838778141301	-0.382981406476914	3.1082380768510225	0.35142702453049424	0.8388582715216086	1	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV12	1461.7509443906606	-0.7427448965694342	3.099147491184264	-9.918462324260872	1	1	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV15	890.1119635747932	-0.1637962960916217	3.100873504010173	-10.44672531392689	1	1	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV18	183.50873987420547	-1.2614314779927278	3.112467895994573	-25.544410765214025	1	1	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV26	81.66229648402732	0.3381178322949045	2.6277514229909356	-0.7057235142972331	1	1	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV27	76.16625908094399	-0.2045938805768116	3.115106640457554	-1.7461554229745389	1	1	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV30	83.37458889337168	-0.34467890553380404	3.1119651615666424	-5.153902159747872	1	1	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV31	88.28902324465867	-0.5782337857374044	3.1079399575839743	-4.606590889776953	1	1	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV38	62.85680776442791	0.24859685985084268	1.2300159992167004	0.22312836943353886	0.8944339805691267	1	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV39	72.51916650967696	-5.762470190978106e-4	3.1142423579468637	-0.5933640857563205	1	1	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV41	72.63025543823171	0.6736693700829891	3.1296774797306703	-13.61744881926586	1	1	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV44	82.80562643271416	-0.20373138090229131	3.1121556171232325	-2.374516120015528	1	1	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV45	49.77215796128144	-0.08779937899016282	2.5752855498026155	0.11900269154114085	0.9422342655592317	1	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV57	27.40951149086128	-0.24537270113207468	3.0952858281294904	0.9352729960036186	0.6264812094443917	1	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV63	67.16843650848288	-0.2970710245573818	3.1158676854750036	-5.910481302252265	1	1	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV64	33.04016235370708	1.2279940947831376	2.6888723314872833	-5.146163212368492	1	1	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV67	35.64758815726835	-2.2246941357206738	3.1172678736984327	-45.71277440544992	1	1	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV81	39.724293368583304	1.4369461972220237	2.642487296063295	-4.076982793733691	1	1	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV83	47.34554350863768	-0.061647698800270226	3.1132523378243318	0.5323341211388879	0.7663110964387035	1	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV92	53.939702512015955	0.3222773546940806	3.129796917449096	-7.665884850132329	1	1	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV110	52.46850286307233	-0.6980374803691866	3.133780436503451	-14.273929468121366	1	1	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV130	52.724991056163965	0.17773944874523567	3.122101114591082	-0.5328599284170537	1	1	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
ASV141	41.11739956607556	-0.6780693480959556	3.12603361931099	-2.4203082022012836	1	1	t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream + t14520_Fitzpatrick_type	 ~ t14110_gender + t4_examination_age + t277_BMI + wash + cream
