Cohort	Group	Description	Displayed.description	Variable	Type
KORA FF4	Diet	Fat [g / d]	Fat (g/d)	Fat.u3v_zf	Continuous
KORA FF4	Diet	Carbohydrates, absorbable [g / d]	Carbohydrate (g/d)	Crbhydrtsabsrbb.u3v_zk	Continuous
KORA FF4	Diet	Fiber [g / d]	Fiber (g/d)	Fiber.u3v_zb	Continuous
KORA FF4	Lifestyle	Alcohol (ethanol) [g / d]	Alcohol (g/d)	Alcohol.ethanol.u3v_za	Continuous
KORA FF4	Age/BMI/Sex	Bmi	BMI (kg/m2)	BMI.u3tbmi	Continuous
KORA FF4	Skin care	Wash (last 12h)	Wash (<24h)	wash	Continuous
KORA FF4	Skin care	Cream (last 12h)	Lotion/cream (<24h)	cream	Continuous
PopGen	Skin care	Wash	Wash (<24h)	wash	Discrete
PopGen	Skin care	Cream	Lotion/cream (<24h)	cream	Discrete
PopGen	Age/BMI/Sex	Site	Site	Site	Discrete
PopGen	Diet	Total energy [kj/day]	Energy (kcal/d)	GJ	Continuous
PopGen	Others	Alcohol [g/day]	Alcohol (g/d)	ZA	Continuous
PopGen	Diet	Fibre [g/day]	Fiber (g/d)	ZB	Continuous
PopGen	Diet	Protein [g/day]	Protein (g/d)	ZE	Continuous
PopGen	Diet	Fat [g/day]	Fat (g/d)	ZF	Continuous
PopGen	Diet	Carbohydrates [g/day]	Carbohydrate (g/d)	ZK	Continuous
PopGen	Others	What are your smoking habits?	Smoking	t14498_smoking_habits_6m	Discrete
PopGen	Others	Have you been treated with antibiotics during the last 6 weeks?	Antibiotics (<6w)	t1922_antibiotics_6_weeks	Discrete
PopGen	Others	Have you taken antibiotics during the last 6 months?	Antibiotics (<6m)	t1774_antibiotics_6_month	Discrete
PopGen	Age/BMI/Sex	Gender (add new value = 3 for all questionnaires collected since 2019 exclusive foc_f2)	Sex	t14110_gender	Discrete
PopGen	Others	Skin type fitzpatrick	Skin type Fitzpatrick	t14520_Fitzpatrick_type	Discrete
PopGen	Others	Transepidermal water loss (tewl), humidity in percent	Humidity (%, TEWL)	t14558_TEWL_humidity	Continuous
PopGen	Others	Transepidermal water loss (tewl), ambient temperature in °c	Ambient temperature (°C, TEWL)	t14559_TEWL_temperature	Continuous
PopGen	Age/BMI/Sex	Age at examination	Age (y)	t4_examination_age	Continuous
PopGen	Age/BMI/Sex	Bmi from values measured in in-house examination (body mass index: weight/((height/100)^2)	BMI (kg/m2)	t277_BMI	Continuous
PopGen	Others	Sport in summer [h/week]	Sport in summer (h/week)	sport_s	Continuous
PopGen	Others	Regular do sport [1 = y / 0 = n]	Regular sports	reg_sports	Continuous
PopGen	Others	TEWL	TEWL	TEWL_specific	Continuous
PopGen	Others	pH	pH	ph_specific	Continuous
